No.,발주번호,호선,중산도면,원도면,품명,재질,소재,길이,수량,중량,영업납기,선급,현재진행공정,지연,비고,긴급,단가
107,A21051100E4,"신고리 5,6호기 PJT. 6호/신고리 5,6호기 PJT. 5호",072311,63-011173-0,FIXING STUDS,SNCM439, Φ35, 215 , 128 ,211,2021-07-01,,CNC1차대기-20210525,-1,HSD엔진(주),," 15,600 "
108,A21051300GA,,K02958,107.345.710.200,ELASTIC BOLT FOR CROSSHEAD PIN,SCM440, Φ30, 248 , 4 ,6,2021-07-01,,CNC1차대기-20210527,0,삼정이앤더블유,," 40,530 "
109,A21052500FA, UNIS2415/ PANT2414/NAT2418,070058,13-926600-0,STUD(마킹실시),SCM440 QT, Φ90," 1,243 ", 6 ,374,2021-07-01,,CNC1차대기-20210531,4,신천기계공업㈜,," 244,650 "
110,A210513009A,1DP573SD5150,056587,A1343851520,"STUD, AXIAL VIBR DAMPER",SCM440, Φ26, 544 , 20 ,46,2021-07-01,,CNC1차대기-20210528,1,유림공업㈜,," 12,740 "
111,A210513009D,1DP573SD5160,057045,A1343851640,STUD,SCM440, Φ38, 615 , 10 ,55,2021-07-01,,CNC1차대기-20210527,0,유림공업㈜,," 21,260 "
112,A21042900HI,202103080058-HHI-SN2377-H32/40-한국프랜지공업/202103080041-HHI-SN2377-H32/40-한국프랜지공업,057387,B9904692662,STUD FOR CON-ROD SHAFT ,SNCM439, Φ35, 246 , 144 ,271,2021-07-01,ABS/W,CNC2차대기-20210520,-8,하경산업,," 16,100 "
113,D21050400I3,8H KBA007361/3241/DNGL/202011040024-HHI-HMD8282-6H21/32/8H KBA007361/3241/DNGL S,K04046,B9912088080,STUD FOR CON-ROD BIG END,SNCM439, Φ30, 316 , 370 ,655,2021-07-01,검사품,CNC1차대기-20210518,-8,하경산업,," 9,416 "
114,A21042900HH,202103080058-HHI-SN2377-H32/40-한국프랜지공업/202103080041-HHI-SN2377-H32/40-한국프랜지공업,057386,B9904692542,STUD FOR CON-ROD BIG END,SNCM439, Φ35, 461 , 144 ,504,2021-07-01,ABS/W,CNC1차대기-20210510,-22,하경산업,," 22,750 "
115,A21020400IK,PANT2414,070283,12-909648-1,CON ROD STUD,SNCM439, Φ65, 830 , 14 ,304,2021-07-02,AB/W ,CNC1차대기-20210518,-9,HSD엔진(주),," 61,010 "
116,A21020400ID,PANT2413,069159,12-909561-0,CYL COVER STUD,S30CRNIMOQT, Φ75," 2,671 ", 52 ,4820,2021-07-02,AB/W ,CNC2차(9),-14,HSD엔진(주),," 481,190 "
117,A21042000CE,KAA007387/KAA007386/KAA007317,066736,A1363178600,SPECIALS STUD,SCM435, Φ32, 459 , 42 ,108,2021-07-02,,CNC1차(0),-9,현대중공업,," 11,500 "
118,A21041400D2,KAA007391/KAA007393/KAA007414,069196,A1365011911,SPECIAL STUDS,SCM435, Φ32, 298 , 80 ,134,2021-07-02,,CNC1차대기-20210428,-28,현대중공업,," 10,220 "
119,A21042000A9,KBA007332/KBA007295,057791,B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40, 787 , 204 ,1589,2021-07-02,검사품,CNC2차대기-20210531,2,현대중공업,," 40,973 "
120,D210428007G,KAA007415/KAA007391/KAA007393,068898,A1365703560,SPECIAL STUDS,SCM435, Φ30, 318 , 128 ,228,2021-07-02,,CNC1차대기-20210525,-1,현대중공업,," 9,170 "
121,D2104300030,SITC2267/SITC2268,067447,13-921601-0,STU DFUEL VALVE,SNCM439, Φ25, 288 , 66 ,74,2021-07-05,,CNC1차대기-20210513,-13,HSD엔진(주),," 8,000 "
122,A210430003H,SITC2002/PANT2414/NAT 2417,066496,31-022218-1,PLUNGER,S45C, Φ75, 183 , 5 ,32,2021-07-05,,CNC1차대기-20210513,-13,HSD엔진(주),," 266,000 "
123,D210427002Q,KAA007363/KAA007340/KAA007370,066796,A1365637711,SPECIAL STUD,SCM435, Φ30, 378 , 240 ,507,2021-07-05,,CNC1차(0),-5,현대중공업,," 11,000 "
124,A210512003H,KAA006911/KAA006912/KAA007319,064192,A1358248120,FITTED BOLT,SNCM439, Φ50, 141 , 20 ,44,2021-07-05,,CNC1차대기-20210528,1,현대중공업,," 17,684 "
125,A21050400JJ,MINE2332P2/AET 2376,059988,21-017997-1,VALVE CAGE ELASTIC STUD,SNCM439, Φ85," 1,064 ", 24 ,1140,2021-07-06,검사품,CNC1차대기-20210531,4,HSD엔진(주),," 166,250 "
126,A2104070087,KBA006754,K03899,B9910456630/B9910456631,STUD FOR COUNTERWEIGHT,SNCM439, Φ40, 423 , 396 ,1663,2021-07-06,검사품,CNC1차(34),-22,현대중공업,," 22,005 "
127,A21042900I9,3188,K03894,B9906837084,MAIN BEARING STUD,SNCM439 QT, Φ48, 783 , 46 ,515,2021-07-07,DNGL-W,CNC1차대기-20210528,0,현대중공업,," 60,000 "
