No.,발주번호,호선,중산도면,원도면,품명,재질,소재,길이,수량,중량,영업납기,선급,현재진행공정,지연,비고,긴급,단가
117,A21042000CE,KAA007387/KAA007386/KAA007317,066736,A1363178600,SPECIALS STUD,SCM435, Φ32,459,42,108,2021-07-02,,CNC1차(0),-9,현대중공업,,11500
118,A21041400D2,KAA007391/KAA007393/KAA007414,069196,A1365011911,SPECIAL STUDS,SCM435, Φ32,298,80,134,2021-07-02,,CNC1차대기-20210428,-28,현대중공업,,10220
119,A21042000A9,KBA007332/KBA007295,057791,B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40,787,204,1589,2021-07-02,검사품,CNC2차대기-20210531,2,현대중공업,,40973
120,D210428007G,KAA007415/KAA007391/KAA007393,068898,A1365703560,SPECIAL STUDS,SCM435, Φ30,318,128,228,2021-07-02,,CNC1차대기-20210525,-1,현대중공업,,9170
121,D2104300030,SITC2267/SITC2268,067447,13-921601-0,STU DFUEL VALVE,SNCM439, Φ25,288,66,74,2021-07-05,,CNC1차대기-20210513,-13,HSD엔진(주),,8000
122,A210430003H,SITC2002/PANT2414/NAT 2417,066496,31-022218-1,PLUNGER,S45C, Φ75,183,5,32,2021-07-05,,CNC1차대기-20210513,-13,HSD엔진(주),,266000
123,D210427002Q,KAA007363/KAA007340/KAA007370,066796,A1365637711,SPECIAL STUD,SCM435, Φ30,378,240,507,2021-07-05,,CNC1차(0),-5,현대중공업,,11000
124,A210512003H,KAA006911/KAA006912/KAA007319,064192,A1358248120,FITTED BOLT,SNCM439, Φ50,141,20,44,2021-07-05,,CNC1차대기-20210528,1,현대중공업,,17684
125,A21050400JJ,MINE2332P2/AET 2376,059988,21-017997-1,VALVE CAGE ELASTIC STUD,SNCM439, Φ85,1064,24,1140,2021-07-06,검사품,CNC1차대기-20210531,4,HSD엔진(주),,166250
126,A2104070087,KBA006754,K03899,B9910456630/B9910456631,STUD FOR COUNTERWEIGHT,SNCM439, Φ40,423,396,1663,2021-07-06,검사품,CNC1차(34),-22,현대중공업,,22005
127,A21042900I9,3188,K03894,B9906837084,MAIN BEARING STUD,SNCM439 QT, Φ48,783,46,515,2021-07-07,DNGL-W,CNC1차대기-20210528,0,현대중공업,,60000
128,A21051400DB,PANT2414/KAA007340,069559,11-041261-0/A1167846500,EXHAUST VALVE STUD,S30CRNIMOQT, Φ85,964,15,646,2021-07-08,검사품,CNC1차대기-20210531,4,HSD엔진(주),,242250
129,A21042900IW,7H35DF KBA007262/SH8094/LR S W.C/6H35DF KBA007263/SH8094/LR W.C/7H35DF KBA007262/SH8094/LR W.C,057386,B9904692780,STUD FOR CON-ROD BIG END,SNCM439, Φ35,461,84,294,2021-07-09,LR/W,CNC1차대기-20210510,-22,디에스티,,24418
130,A21042900IX,7H35DF KBA007262/SH8094/LR S W.C/6H35DF KBA007263/SH8094/LR W.C/7H35DF KBA007262/SH8094/LR W.C,057387,B9904692800,STUD FOR CON-ROD SHAFT ,SNCM439, Φ35,246,84,158,2021-07-09,LR/W,CNC2차대기-20210520,-8,디에스티,,17794
131,A21042900II,8H35DF KBA007235/SN2315/BV W.C/6H35DF KBA007236/SN2315/BV W.C/8H35DF KBA007235/SN2315/BV S W.C,057386,B9904692780,STUD FOR CON-ROD BIG END,SNCM439, Φ35,461,116,406,2021-07-09,BV/W,CNC1차대기-20210510,-22,디에스티,,24418
132,A21042900IH,6H35DF KBA007236/SN2315/BV S W.C/8H35DF KBA007235/SN2315/BV W.C/6H35DF KBA007236/SN2315/BV W.C,057387,B9904692800,STUD FOR CON-ROD SHAFT ,SNCM439, Φ35,246,116,218,2021-07-09,BV/W,CNC2차대기-20210524,-4,디에스티,,17794
133,A21042000AA,KBA007295/KBA007370,057791,B9211183862,STUD FOR CYL.HEAD,SNCM439 QT, Φ40,787,208,1620,2021-07-09,검사품,CNC1차대기-20210520,-6,현대중공업,,40973
134,D21050400ID,N983/H0316322/UNIS2415,S00033,212.DP.130130/DN122-A30130-02,STUD BOLT,SCM440, Φ32,177,210,239,2021-07-10,,CNC1차대기-20210521,-5,(주)화영,,5303
135,A2105130043,SH8053-3공장 입고,067667,A12-572306-0.0(PK)/A1257230600(PK),STUD,SCM440, Φ35,438,44,146,2021-07-10,,CNC1차대기-20210524,-2,㈜케이에스피,,21360
136,A210506004O,3162Y55,068678,31674-01624R00,STUD,SCM440, Φ26,499,8,17,2021-07-10,,CNC2차대기-20210531,2,금용기계㈜,,11602
137,D21050400F7,HMD2853/HMD2799,065961,A13-592581-0.0,STUD(PK안함),SCM440, Φ26,404,48,81,2021-07-12,,CNC1차대기-20210526,0,(주)화영,,12400
138,A21050400AG,HMD2853/HMD2799,056264,A13-436531-9.0,"STUD, REDUCED SHANK(PK안함)",SCM440 QT, Φ24,620,48,106,2021-07-12,,CNC1차대기-20210527,0,(주)화영,,13030
139,A21050700DZ,ZODI4354/ZODI4355,070230,13-924019-1,FUEL VALVE STUD,SNCM439, Φ28,556,90,243,2021-07-12,,CNC1차대기-20210526,0,HSD엔진(주),,17436
140,A21031600B4,NAT 2417,069159,12-909561-0,CYL COVER STUD,S30CRNIMOQT, Φ75,2671,52,4820,2021-07-12,AB/W ,CNC1차(22),-8,HSD엔진(주),,481190
141,A21050700C3,CMES3100,063082,12-906225-0,STUD,SNCM439, Φ35,438,40,133,2021-07-12,,CNC1차대기-20210527,0,금용기계㈜,,17836
142,A21030300KG,NAT 2418,069163,12-909647-0,CON ROD STUD,SNCM439, Φ55,538,28,282,2021-07-13,AB/W ,CNC1차대기-20210526,-9,HSD엔진(주),,31160
144,A21050700BZ,SOVC2368,062432,21-018309-0,COUPLING BOLT,SCM435, Φ85,238,4,43,2021-07-13,,CNC1차대기-20210521,-5,HSD엔진(주),,44803
147,A21051000BR,MINE2332P1/PAN 2426P2/MINE2332P2,059991,22-024585-2,COUPLING BOLT,SCM435, Φ60,300,48,323,2021-07-14,,CNC1차대기-20210521,-5,HSD엔진(주),,36575
149,A21051000CC,KBA007409,061606,B9300307726,STUD FOR COUNT WEIGHT,SNCM439, Φ38,300,72,194,2021-07-14,검사품,CNC1차대기-20210527,0,현대중공업,,14448
150,A2105110038,MINE2332P1/PAN 2426P2/MINE2332P2,062330,A2426765850/24-125432-0,ELASTIC BOLT,SCM435, Φ50,236,40,147,2021-07-15,,CNC1차대기-20210527,0,HSD엔진(주),,13099
154,D21051400DK,KBA006831,K04037,B9210766450,STUD,SNCM439, Φ32,274,430,752,2021-07-15,검사품,CNC1차대기-20210524,-2,현대중공업,,7810
156,D201202007Z-03,BWGA2509P2/KAA007295/KAA007294,Z00807,250R1264000/DN160-B64000-02,HEX NUT,S45C, Φ80,69,300,852,2021-07-15,,CNC1차(0),-176,,,10450
157,A210512003M,ZODI4354/MSC 0264,064757,13-070166-3,FITTED STUD,SCM440, Φ60,313,8,56,2021-07-16,,CNC1차대기-20210528,1,HSD엔진(주),,20343
158,A21051100A9,KAA007370,062185,A1351063551,STUD,SCM435, Φ70,620,12,226,2021-07-16,,CNC1차대기-20210528,1,현대중공업,,47900
159,A21042300D9,KAA007359/KAA007297/KAA007340,069478,A1270004800,SPECIAL STUD,SCM440, Φ40,363,24,87,2021-07-16,,CNC1차대기-20210528,1,현대중공업,,19200
166,A210517003G,KBA007231,061218,B9910475920/B9910456262,FITTED STUD,SNCM439, Φ40,259,20,52,2021-07-21,,CNC1차대기-20210528,1,현대중공업,,35100
171,A21020400H6,AET 2376,058797,22-024590-1,CON ROD STUD,SCM440 QT, Φ60,555,24,299,2021-07-23,DG/W,CNC1차대기-20210512,-15,HSD엔진(주),,34000
172,A21030300KM,PAN 2426P2,058797,22-024590-1,CON ROD STUD,SCM440 QT, Φ60,555,24,299,2021-07-26,ABS/W,CNC1차대기-20210512,-15,HSD엔진(주),,34000
174,A210514008A-01,KBA006754,K03887,B9906836403,COUPLING STUD,SNCM439 QT, Φ48,403,40,204,2021-07-26,검사품,CNC1차대기-20210521,-5,현대중공업,,20957
176,D201202007Z-04,BWGA2509P2/KAA007295/KAA007294,Z00807,250R1264000/DN160-B64000-02,HEX NUT,S45C, Φ80,69,300,852,2021-08-15,,CNC1차(0),-176,,,10450
177,A21051400DC,KAA007367/NAT 2418,069559,11-041261-0/A1167846500,EXHAUST VALVE STUD,S30CRNIMOQT, Φ85,964,28,1205,2021-08-18,검사품,CNC1차대기-20210531,4,HSD엔진(주),,242250
178,A210120006H,"신고리 5,6호기 PJT. 6호",K00614,4M421103-1,TAPPET PAD,SCM435, Φ45,34,12,6,2021-08-19,,CNC1차대기-20210126,-120,HSD엔진(주),,6750
180,D21051400DL,KBA007312,K04037,B9210766450,STUD,SNCM439, Φ32,274,400,699,2021-08-31,검사품,CNC1차대기-20210524,-2,현대중공업,,7810
182,D201202007Z-05,BWGA2509P2/KAA007295/KAA007294,Z00807,250R1264000/DN160-B64000-02,HEX NUT,S45C, Φ80,69,325,923,2021-09-15,,CNC1차(0),-176,,,10450
