variable,solution
"u_K62716,19",0.0
"u_K62716,2",0.0
"u_K62716,20",0.0
"u_K62716,21",0.0
"u_K62716,22",0.0
"u_K62716,23",0.0
"u_K62716,24",0.0
"u_K62716,25",0.0
"u_K62716,26",0.0
"u_K62716,27",0.0
"u_K62716,28",0.0
"u_K62716,29",0.0
"u_K62716,3",0.0
"u_K62716,30",0.0
"u_K62716,31",0.0
"u_K62716,32",0.0
"u_K62716,33",0.0
"u_K62716,34",0.0
"u_K62716,35",0.0
"u_K62716,36",0.0
"u_K62716,37",0.0
"u_K62716,38",0.0
"u_K62716,39",0.0
"u_K62716,4",0.0
"u_K62716,40",0.0
"u_K62716,41",0.0
"u_K62716,42",0.0
"u_K62716,43",0.0
"u_K62716,44",0.0
