,0
"('S00271', 438.0, '2021-04-10')",0
"('S00271', 438.0, '2021-05-30')",0
"('S00271', 438.0, '2021-03-10')",0
"('S00271', 438.0, '2021-05-10')",0
"('S00271', 438.0, '2021-05-24')",0
"('S00271', 438.0, '2021-05-13')",0
"('S00271', 438.0, '2021-05-31')",0
"('S00271', 438.0, '2021-02-18')",0
"('S00271', 438.0, '2021-02-10')",0
"('S00271', 439.0, '2021-04-10')",0
"('S00271', 439.0, '2021-05-30')",0
"('S00271', 439.0, '2021-03-10')",0
"('S00271', 439.0, '2021-05-10')",0
"('S00271', 439.0, '2021-05-24')",0
"('S00271', 439.0, '2021-05-13')",0
"('S00271', 439.0, '2021-05-31')",0
"('S00271', 439.0, '2021-02-18')",0
"('S00271', 439.0, '2021-02-10')",0
"('S00271', 440.0, '2021-04-10')",0
"('S00271', 440.0, '2021-05-30')",0
"('S00271', 440.0, '2021-03-10')",0
"('S00271', 440.0, '2021-05-10')",0
"('S00271', 440.0, '2021-05-24')",0
"('S00271', 440.0, '2021-05-13')",0
"('S00271', 440.0, '2021-05-31')",0
"('S00271', 440.0, '2021-02-18')",0
"('S00271', 440.0, '2021-02-10')",0
"('S00341', 404.0, '2021-04-10')",0
"('S00341', 404.0, '2021-05-30')",0
"('S00341', 404.0, '2021-03-10')",0
"('S00341', 404.0, '2021-05-10')",0
"('S00341', 404.0, '2021-05-24')",0
"('S00341', 404.0, '2021-05-13')",0
"('S00341', 404.0, '2021-05-31')",0
"('S00341', 404.0, '2021-02-18')",0
"('S00341', 404.0, '2021-02-10')",0
"('S00341', 405.0, '2021-04-10')",0
"('S00341', 405.0, '2021-05-30')",0
"('S00341', 405.0, '2021-03-10')",0
"('S00341', 405.0, '2021-05-10')",0
"('S00341', 405.0, '2021-05-24')",0
"('S00341', 405.0, '2021-05-13')",0
"('S00341', 405.0, '2021-05-31')",0
"('S00341', 405.0, '2021-02-18')",0
"('S00341', 405.0, '2021-02-10')",0
"('S00341', 407.0, '2021-04-10')",0
"('S00341', 407.0, '2021-05-30')",0
"('S00341', 407.0, '2021-03-10')",0
"('S00341', 407.0, '2021-05-10')",0
"('S00341', 407.0, '2021-05-24')",0
"('S00341', 407.0, '2021-05-13')",0
"('S00341', 407.0, '2021-05-31')",0
"('S00341', 407.0, '2021-02-18')",0
"('S00341', 407.0, '2021-02-10')",0
"('S00341', 408.0, '2021-04-10')",0
"('S00341', 408.0, '2021-05-30')",0
"('S00341', 408.0, '2021-03-10')",0
"('S00341', 408.0, '2021-05-10')",0
"('S00341', 408.0, '2021-05-24')",0
"('S00341', 408.0, '2021-05-13')",0
"('S00341', 408.0, '2021-05-31')",0
"('S00341', 408.0, '2021-02-18')",0
"('S00341', 408.0, '2021-02-10')",0
"('S00341', 409.0, '2021-04-10')",0
"('S00341', 409.0, '2021-05-30')",0
"('S00341', 409.0, '2021-03-10')",0
"('S00341', 409.0, '2021-05-10')",0
"('S00341', 409.0, '2021-05-24')",0
"('S00341', 409.0, '2021-05-13')",0
"('S00341', 409.0, '2021-05-31')",0
"('S00341', 409.0, '2021-02-18')",0
"('S00341', 409.0, '2021-02-10')",0
"('S00341', 410.0, '2021-04-10')",351
"('S00341', 410.0, '2021-05-30')",0
"('S00341', 410.0, '2021-03-10')",341
"('S00341', 410.0, '2021-05-10')",359
"('S00341', 410.0, '2021-05-24')",0
"('S00341', 410.0, '2021-05-13')",0
"('S00341', 410.0, '2021-05-31')",0
"('S00341', 410.0, '2021-02-18')",0
"('S00341', 410.0, '2021-02-10')",482
"('S00341', 412.0, '2021-04-10')",0
"('S00341', 412.0, '2021-05-30')",0
"('S00341', 412.0, '2021-03-10')",0
"('S00341', 412.0, '2021-05-10')",0
"('S00341', 412.0, '2021-05-24')",0
"('S00341', 412.0, '2021-05-13')",0
"('S00341', 412.0, '2021-05-31')",0
"('S00341', 412.0, '2021-02-18')",0
"('S00341', 412.0, '2021-02-10')",0
"('S00341', 416.0, '2021-04-10')",0
"('S00341', 416.0, '2021-05-30')",0
"('S00341', 416.0, '2021-03-10')",0
"('S00341', 416.0, '2021-05-10')",0
"('S00341', 416.0, '2021-05-24')",0
"('S00341', 416.0, '2021-05-13')",0
"('S00341', 416.0, '2021-05-31')",0
"('S00341', 416.0, '2021-02-18')",0
"('S00341', 416.0, '2021-02-10')",0
"('S00341', 421.0, '2021-04-10')",0
"('S00341', 421.0, '2021-05-30')",0
"('S00341', 421.0, '2021-03-10')",0
"('S00341', 421.0, '2021-05-10')",0
"('S00341', 421.0, '2021-05-24')",0
"('S00341', 421.0, '2021-05-13')",0
"('S00341', 421.0, '2021-05-31')",0
"('S00341', 421.0, '2021-02-18')",0
"('S00341', 421.0, '2021-02-10')",0
"('S00341', 422.0, '2021-04-10')",0
"('S00341', 422.0, '2021-05-30')",0
"('S00341', 422.0, '2021-03-10')",0
"('S00341', 422.0, '2021-05-10')",0
"('S00341', 422.0, '2021-05-24')",0
"('S00341', 422.0, '2021-05-13')",0
"('S00341', 422.0, '2021-05-31')",0
"('S00341', 422.0, '2021-02-18')",0
"('S00341', 422.0, '2021-02-10')",0
"('S00341', 424.0, '2021-04-10')",0
"('S00341', 424.0, '2021-05-30')",0
"('S00341', 424.0, '2021-03-10')",0
"('S00341', 424.0, '2021-05-10')",0
"('S00341', 424.0, '2021-05-24')",0
"('S00341', 424.0, '2021-05-13')",0
"('S00341', 424.0, '2021-05-31')",0
"('S00341', 424.0, '2021-02-18')",0
"('S00341', 424.0, '2021-02-10')",0
"('S00341', 425.0, '2021-04-10')",0
"('S00341', 425.0, '2021-05-30')",0
"('S00341', 425.0, '2021-03-10')",0
"('S00341', 425.0, '2021-05-10')",0
"('S00341', 425.0, '2021-05-24')",0
"('S00341', 425.0, '2021-05-13')",0
"('S00341', 425.0, '2021-05-31')",0
"('S00341', 425.0, '2021-02-18')",0
"('S00341', 425.0, '2021-02-10')",0
"('S00341', 426.0, '2021-04-10')",0
"('S00341', 426.0, '2021-05-30')",0
"('S00341', 426.0, '2021-03-10')",0
"('S00341', 426.0, '2021-05-10')",0
"('S00341', 426.0, '2021-05-24')",0
"('S00341', 426.0, '2021-05-13')",0
"('S00341', 426.0, '2021-05-31')",0
"('S00341', 426.0, '2021-02-18')",0
"('S00341', 426.0, '2021-02-10')",0
"('S00341', 433.0, '2021-04-10')",0
"('S00341', 433.0, '2021-05-30')",0
"('S00341', 433.0, '2021-03-10')",0
"('S00341', 433.0, '2021-05-10')",0
"('S00341', 433.0, '2021-05-24')",0
"('S00341', 433.0, '2021-05-13')",0
"('S00341', 433.0, '2021-05-31')",0
"('S00341', 433.0, '2021-02-18')",0
"('S00341', 433.0, '2021-02-10')",0
"('S00341', 434.0, '2021-04-10')",0
"('S00341', 434.0, '2021-05-30')",0
"('S00341', 434.0, '2021-03-10')",0
"('S00341', 434.0, '2021-05-10')",0
"('S00341', 434.0, '2021-05-24')",0
"('S00341', 434.0, '2021-05-13')",0
"('S00341', 434.0, '2021-05-31')",0
"('S00341', 434.0, '2021-02-18')",0
"('S00341', 434.0, '2021-02-10')",0
"('S00341', 435.0, '2021-04-10')",0
"('S00341', 435.0, '2021-05-30')",0
"('S00341', 435.0, '2021-03-10')",0
"('S00341', 435.0, '2021-05-10')",0
"('S00341', 435.0, '2021-05-24')",0
"('S00341', 435.0, '2021-05-13')",0
"('S00341', 435.0, '2021-05-31')",0
"('S00341', 435.0, '2021-02-18')",0
"('S00341', 435.0, '2021-02-10')",0
"('S00341', 436.0, '2021-04-10')",0
"('S00341', 436.0, '2021-05-30')",0
"('S00341', 436.0, '2021-03-10')",0
"('S00341', 436.0, '2021-05-10')",0
"('S00341', 436.0, '2021-05-24')",0
"('S00341', 436.0, '2021-05-13')",0
"('S00341', 436.0, '2021-05-31')",0
"('S00341', 436.0, '2021-02-18')",0
"('S00341', 436.0, '2021-02-10')",0
"('S00341', 438.0, '2021-04-10')",0
"('S00341', 438.0, '2021-05-30')",0
"('S00341', 438.0, '2021-03-10')",0
"('S00341', 438.0, '2021-05-10')",0
"('S00341', 438.0, '2021-05-24')",0
"('S00341', 438.0, '2021-05-13')",0
"('S00341', 438.0, '2021-05-31')",0
"('S00341', 438.0, '2021-02-18')",0
"('S00341', 438.0, '2021-02-10')",0
"('S00341', 439.0, '2021-04-10')",0
"('S00341', 439.0, '2021-05-30')",0
"('S00341', 439.0, '2021-03-10')",0
"('S00341', 439.0, '2021-05-10')",0
"('S00341', 439.0, '2021-05-24')",0
"('S00341', 439.0, '2021-05-13')",0
"('S00341', 439.0, '2021-05-31')",0
"('S00341', 439.0, '2021-02-18')",0
"('S00341', 439.0, '2021-02-10')",0
"('S00341', 440.0, '2021-04-10')",0
"('S00341', 440.0, '2021-05-30')",0
"('S00341', 440.0, '2021-03-10')",0
"('S00341', 440.0, '2021-05-10')",0
"('S00341', 440.0, '2021-05-24')",0
"('S00341', 440.0, '2021-05-13')",0
"('S00341', 440.0, '2021-05-31')",0
"('S00341', 440.0, '2021-02-18')",0
"('S00341', 440.0, '2021-02-10')",0
"('066157', 404.0, '2021-04-10')",0
"('066157', 404.0, '2021-05-30')",0
"('066157', 404.0, '2021-03-10')",0
"('066157', 404.0, '2021-05-10')",0
"('066157', 404.0, '2021-05-24')",0
"('066157', 404.0, '2021-05-13')",0
"('066157', 404.0, '2021-05-31')",0
"('066157', 404.0, '2021-02-18')",0
"('066157', 404.0, '2021-02-10')",0
"('066157', 405.0, '2021-04-10')",0
"('066157', 405.0, '2021-05-30')",0
"('066157', 405.0, '2021-03-10')",0
"('066157', 405.0, '2021-05-10')",0
"('066157', 405.0, '2021-05-24')",0
"('066157', 405.0, '2021-05-13')",0
"('066157', 405.0, '2021-05-31')",0
"('066157', 405.0, '2021-02-18')",0
"('066157', 405.0, '2021-02-10')",0
"('066157', 407.0, '2021-04-10')",0
"('066157', 407.0, '2021-05-30')",0
"('066157', 407.0, '2021-03-10')",0
"('066157', 407.0, '2021-05-10')",0
"('066157', 407.0, '2021-05-24')",0
"('066157', 407.0, '2021-05-13')",0
"('066157', 407.0, '2021-05-31')",0
"('066157', 407.0, '2021-02-18')",0
"('066157', 407.0, '2021-02-10')",0
"('066157', 408.0, '2021-04-10')",0
"('066157', 408.0, '2021-05-30')",0
"('066157', 408.0, '2021-03-10')",0
"('066157', 408.0, '2021-05-10')",0
"('066157', 408.0, '2021-05-24')",0
"('066157', 408.0, '2021-05-13')",80
"('066157', 408.0, '2021-05-31')",0
"('066157', 408.0, '2021-02-18')",0
"('066157', 408.0, '2021-02-10')",0
"('066157', 409.0, '2021-04-10')",0
"('066157', 409.0, '2021-05-30')",0
"('066157', 409.0, '2021-03-10')",0
"('066157', 409.0, '2021-05-10')",0
"('066157', 409.0, '2021-05-24')",0
"('066157', 409.0, '2021-05-13')",140
"('066157', 409.0, '2021-05-31')",0
"('066157', 409.0, '2021-02-18')",0
"('066157', 409.0, '2021-02-10')",0
"('066157', 410.0, '2021-04-10')",0
"('066157', 410.0, '2021-05-30')",0
"('066157', 410.0, '2021-03-10')",0
"('066157', 410.0, '2021-05-10')",0
"('066157', 410.0, '2021-05-24')",0
"('066157', 410.0, '2021-05-13')",0
"('066157', 410.0, '2021-05-31')",0
"('066157', 410.0, '2021-02-18')",0
"('066157', 410.0, '2021-02-10')",0
"('066157', 412.0, '2021-04-10')",0
"('066157', 412.0, '2021-05-30')",0
"('066157', 412.0, '2021-03-10')",0
"('066157', 412.0, '2021-05-10')",0
"('066157', 412.0, '2021-05-24')",0
"('066157', 412.0, '2021-05-13')",0
"('066157', 412.0, '2021-05-31')",0
"('066157', 412.0, '2021-02-18')",0
"('066157', 412.0, '2021-02-10')",0
"('066157', 416.0, '2021-04-10')",0
"('066157', 416.0, '2021-05-30')",0
"('066157', 416.0, '2021-03-10')",0
"('066157', 416.0, '2021-05-10')",0
"('066157', 416.0, '2021-05-24')",0
"('066157', 416.0, '2021-05-13')",0
"('066157', 416.0, '2021-05-31')",0
"('066157', 416.0, '2021-02-18')",0
"('066157', 416.0, '2021-02-10')",0
"('066157', 421.0, '2021-04-10')",0
"('066157', 421.0, '2021-05-30')",0
"('066157', 421.0, '2021-03-10')",0
"('066157', 421.0, '2021-05-10')",0
"('066157', 421.0, '2021-05-24')",0
"('066157', 421.0, '2021-05-13')",0
"('066157', 421.0, '2021-05-31')",0
"('066157', 421.0, '2021-02-18')",0
"('066157', 421.0, '2021-02-10')",0
"('066157', 422.0, '2021-04-10')",0
"('066157', 422.0, '2021-05-30')",0
"('066157', 422.0, '2021-03-10')",0
"('066157', 422.0, '2021-05-10')",0
"('066157', 422.0, '2021-05-24')",0
"('066157', 422.0, '2021-05-13')",0
"('066157', 422.0, '2021-05-31')",0
"('066157', 422.0, '2021-02-18')",0
"('066157', 422.0, '2021-02-10')",0
"('066157', 424.0, '2021-04-10')",0
"('066157', 424.0, '2021-05-30')",0
"('066157', 424.0, '2021-03-10')",0
"('066157', 424.0, '2021-05-10')",0
"('066157', 424.0, '2021-05-24')",0
"('066157', 424.0, '2021-05-13')",0
"('066157', 424.0, '2021-05-31')",0
"('066157', 424.0, '2021-02-18')",0
"('066157', 424.0, '2021-02-10')",0
"('066157', 425.0, '2021-04-10')",0
